--------- beginning of main
08-25 17:47:56.785 27960 27960 D TemperatureHistoryAnalyzer: Parsed 27374 temperature data points
08-25 17:47:56.785 27960 27960 D TemperatureHistoryAnalyzer: Parsed 27374 temperature data points
08-25 17:47:56.787 27960 27960 D TemperatureHistoryAnalyzer: === FULL HISTORICAL TEMPERATURE DATA ===
08-25 17:47:56.787 27960 27960 D TemperatureHistoryAnalyzer: Point 0: 28.07°C at 2025-08-21 17:14:58 [EXCURSION]
08-25 17:47:56.788 27960 27960 D TemperatureHistoryAnalyzer: Point 1: 28.07°C at 2025-08-21 17:15:08 [EXCURSION]
08-25 17:47:56.788 27960 27960 D TemperatureHistoryAnalyzer: Point 2: 28.07°C at 2025-08-21 17:15:18 [EXCURSION]
08-25 17:47:56.788 27960 27960 D TemperatureHistoryAnalyzer: Point 3: 28.11°C at 2025-08-21 17:15:28 [EXCURSION]
08-25 17:47:56.788 27960 27960 D TemperatureHistoryAnalyzer: Point 4: 28.07°C at 2025-08-21 17:15:38 [EXCURSION]
08-25 17:47:56.788 27960 27960 D TemperatureHistoryAnalyzer: Point 5: 28.03°C at 2025-08-21 17:15:48 [EXCURSION]
08-25 17:47:56.788 27960 27960 D TemperatureHistoryAnalyzer: Point 6: 28.11°C at 2025-08-21 17:15:58 [EXCURSION]
08-25 17:47:56.788 27960 27960 D TemperatureHistoryAnalyzer: Point 7: 28.11°C at 2025-08-21 17:16:08 [EXCURSION]
08-25 17:47:56.788 27960 27960 D TemperatureHistoryAnalyzer: Point 8: 28.07°C at 2025-08-21 17:16:18 [EXCURSION]
08-25 17:47:56.788 27960 27960 D TemperatureHistoryAnalyzer: Point 9: 28.07°C at 2025-08-21 17:16:28 [EXCURSION]
08-25 17:47:56.788 27960 27960 D TemperatureHistoryAnalyzer: Point 10: 28.07°C at 2025-08-21 17:16:38 [EXCURSION]
08-25 17:47:56.788 27960 27960 D TemperatureHistoryAnalyzer: Point 11: 28.07°C at 2025-08-21 17:16:48 [EXCURSION]
08-25 17:47:56.788 27960 27960 D TemperatureHistoryAnalyzer: Point 12: 28.11°C at 2025-08-21 17:16:58 [EXCURSION]
08-25 17:47:56.788 27960 27960 D TemperatureHistoryAnalyzer: Point 13: 28.07°C at 2025-08-21 17:17:08 [EXCURSION]
08-25 17:47:56.788 27960 27960 D TemperatureHistoryAnalyzer: Point 14: 28.11°C at 2025-08-21 17:17:18 [EXCURSION]
08-25 17:47:56.788 27960 27960 D TemperatureHistoryAnalyzer: Point 15: 28.07°C at 2025-08-21 17:17:28 [EXCURSION]
08-25 17:47:56.788 27960 27960 D TemperatureHistoryAnalyzer: Point 16: 28.07°C at 2025-08-21 17:17:38 [EXCURSION]
08-25 17:47:56.789 27960 27960 D TemperatureHistoryAnalyzer: Point 17: 28.07°C at 2025-08-21 17:17:48 [EXCURSION]
08-25 17:47:56.789 27960 27960 D TemperatureHistoryAnalyzer: Point 18: 28.11°C at 2025-08-21 17:17:58 [EXCURSION]
08-25 17:47:56.789 27960 27960 D TemperatureHistoryAnalyzer: Point 19: 28.07°C at 2025-08-21 17:18:08 [EXCURSION]
08-25 17:47:56.789 27960 27960 D TemperatureHistoryAnalyzer: Point 20: 28.11°C at 2025-08-21 17:18:18 [EXCURSION]
08-25 17:47:56.789 27960 27960 D TemperatureHistoryAnalyzer: Point 21: 28.11°C at 2025-08-21 17:18:28 [EXCURSION]
08-25 17:47:56.789 27960 27960 D TemperatureHistoryAnalyzer: Point 22: 28.11°C at 2025-08-21 17:18:38 [EXCURSION]
08-25 17:47:56.789 27960 27960 D TemperatureHistoryAnalyzer: Point 23: 28.11°C at 2025-08-21 17:18:48 [EXCURSION]
08-25 17:47:56.789 27960 27960 D TemperatureHistoryAnalyzer: Point 24: 28.11°C at 2025-08-21 17:18:58 [EXCURSION]
08-25 17:47:56.789 27960 27960 D TemperatureHistoryAnalyzer: Point 25: 28.11°C at 2025-08-21 17:19:08 [EXCURSION]
08-25 17:47:56.789 27960 27960 D TemperatureHistoryAnalyzer: Point 26: 28.07°C at 2025-08-21 17:19:18 [EXCURSION]
08-25 17:47:56.789 27960 27960 D TemperatureHistoryAnalyzer: Point 27: 28.11°C at 2025-08-21 17:19:28 [EXCURSION]
08-25 17:47:56.789 27960 27960 D TemperatureHistoryAnalyzer: Point 28: 28.11°C at 2025-08-21 17:19:38 [EXCURSION]
08-25 17:47:56.789 27960 27960 D TemperatureHistoryAnalyzer: Point 29: 28.07°C at 2025-08-21 17:19:48 [EXCURSION]
08-25 17:47:56.789 27960 27960 D TemperatureHistoryAnalyzer: Point 30: 28.11°C at 2025-08-21 17:19:58 [EXCURSION]
08-25 17:47:56.789 27960 27960 D TemperatureHistoryAnalyzer: Point 31: 28.11°C at 2025-08-21 17:20:08 [EXCURSION]
08-25 17:47:56.789 27960 27960 D TemperatureHistoryAnalyzer: Point 32: 28.11°C at 2025-08-21 17:20:18 [EXCURSION]
08-25 17:47:56.790 27960 27960 D TemperatureHistoryAnalyzer: Point 33: 28.11°C at 2025-08-21 17:20:28 [EXCURSION]
08-25 17:47:56.790 27960 27960 D TemperatureHistoryAnalyzer: Point 34: 28.11°C at 2025-08-21 17:20:38 [EXCURSION]
08-25 17:47:56.790 27960 27960 D TemperatureHistoryAnalyzer: Point 35: 28.11°C at 2025-08-21 17:20:48 [EXCURSION]
08-25 17:47:56.790 27960 27960 D TemperatureHistoryAnalyzer: Point 36: 28.11°C at 2025-08-21 17:20:58 [EXCURSION]
08-25 17:47:56.790 27960 27960 D TemperatureHistoryAnalyzer: Point 37: 28.11°C at 2025-08-21 17:21:08 [EXCURSION]
08-25 17:47:56.790 27960 27960 D TemperatureHistoryAnalyzer: Point 38: 28.11°C at 2025-08-21 17:21:18 [EXCURSION]
08-25 17:47:56.790 27960 27960 D TemperatureHistoryAnalyzer: Point 39: 28.11°C at 2025-08-21 17:21:28 [EXCURSION]
08-25 17:47:56.790 27960 27960 D TemperatureHistoryAnalyzer: Point 40: 28.11°C at 2025-08-21 17:21:38 [EXCURSION]
08-25 17:47:56.790 27960 27960 D TemperatureHistoryAnalyzer: Point 41: 28.07°C at 2025-08-21 17:21:48 [EXCURSION]
